,c_id,age,gender,nationality
0,1,37,Male,east_asian
1,2,37,Male,east_asian
2,3,37,Male,east_asian
3,4,37,Male,east_asian
4,5,37,Male,east_asian
5,6,37,Male,east_asian
6,7,37,Male,east_asian
7,8,37,Male,east_asian
8,9,37,Male,east_asian
9,10,37,Male,east_asian
10,11,37,Male,east_asian
11,12,37,Male,east_asian
12,13,39,Female,hispanic
13,14,37,Male,hispanic
14,15,37,Male,hispanic
15,16,59,Male,celtic_english
16,17,59,Male,celtic_english
17,18,59,Male,celtic_english
18,19,59,Male,celtic_english
19,20,59,Male,celtic_english
20,21,59,Male,celtic_english
21,22,31,Male,celtic_english
22,23,31,Male,celtic_english
23,24,42,Female,hispanic
24,25,42,Female,hispanic
25,26,42,Female,hispanic
26,27,42,Female,hispanic
27,28,51,Female,celtic_english
28,29,51,Female,celtic_english
29,30,51,Female,celtic_english
30,31,51,Female,celtic_english
31,32,51,Female,celtic_english
32,33,51,Female,celtic_english
33,34,51,Female,celtic_english
34,35,51,Female,celtic_english
35,36,42,Male,european
36,37,42,Male,european
37,38,42,Male,european
38,39,42,Male,european
39,40,42,Male,european
40,41,42,Male,european
41,42,42,Male,european
42,43,33,Male,east_asian
43,44,33,Male,east_asian
44,45,33,Male,east_asian
45,46,33,Male,east_asian
46,47,33,Male,east_asian
47,48,33,Male,east_asian
48,49,33,Male,east_asian
49,50,33,Male,east_asian
50,51,33,Male,east_asian
51,52,33,Male,east_asian
52,53,33,Male,east_asian
53,54,50,Male,celtic_english
54,55,50,Male,celtic_english
55,56,50,Male,celtic_english
56,57,50,Male,celtic_english
57,58,35,Male,east_asian
58,59,35,Male,east_asian
59,60,47,Male,muslim
60,61,47,Male,muslim
61,62,47,Male,muslim
62,63,47,Male,muslim
63,64,47,Male,muslim
64,65,39,Male,east_asian
65,66,39,Male,east_asian
66,67,38,Male,south_asian
67,68,38,Male,south_asian
68,69,38,Male,south_asian
69,70,61,Male,celtic_english
70,71,61,Male,celtic_english
71,72,26,Female,south_asian
72,73,51,Male,celtic_english
73,74,51,Male,celtic_english
74,75,51,Male,celtic_english
75,76,51,Male,celtic_english
76,77,51,Male,celtic_english
77,78,51,Male,celtic_english
78,79,51,Male,celtic_english
79,80,51,Male,celtic_english
80,81,51,Male,celtic_english
81,82,51,Male,celtic_english
82,83,51,Male,celtic_english
83,84,44,Male,celtic_english
84,85,44,Male,celtic_english
85,86,44,Male,celtic_english
86,87,28,Female,east_asian
87,88,28,Female,east_asian
88,89,28,Female,east_asian
89,90,60,Male,celtic_english
